article_id,title,published_date,source,url,crime_type,description,district,locality,latitude,longitude,location_confidence,location_source,severity_score,risk_level,is_crime_relevant
074394e6c32ce11b,Woman arrested for posing as DSP in Vellore,"Fri, 12 Jun 2026 07:00:00 GMT",The Hindu,https://news.google.com/rss/articles/CBMiswFBVV95cUxPRkM0cjV6bk5yQmVkNE5DVWVEX25vS1FHendUWmVjdGZ1WmEySGUwVm9FWldlVkR0MDR6VlBOOXFmbUNQd1p4aDFyRFZxaWVVeWd3UG1qb3dfc0F6RGpoNlV0NmZkQWVJaFlhNllPYU43QURjWnE4eG9JU1VxeHFNVGVrNVI2cTdyVkRQNERfaXpHYnNTb28wTlU2enlWVGJzMngtU1V1c19KOVA0Y25hZjJsUdIBugFBVV95cUxNUXY0clFMZ2VHZ19ndU9LOWZleFpDSTBzaE5kSEhqLW5CQjE3V0RRYlYxZjZCclVPNDFSSFgyOE81UHNvam83OV95b1RoS1Jld0dHY0lNdXNlTEtua2xkTElGVVNWQ096cVJSeGQtMHpkMmhZc0JSUHViWGd1N2tHeWltOXZ4UXhMUWRsQVJQZm5FYno5S1BkQURzcVIzXzMybFNoT2QxWkpDTXNxUHBpajRqdEJPc2ZhblE?oc=5,Fraud,Woman arrested for posing as DSP in Vellore The Hindu,Vellore,,,,UNKNOWN,Woman arrested for posing as DSP in Vellore Woman arrested for posing as DSP in Vellore The Hindu,5,Medium,True
eefd3f401cd22ae8,Constable among Vellore trio held for series of bike theft in Sriperumbudur,"Sun, 07 Jun 2026 07:00:00 GMT",DT Next,https://news.google.com/rss/articles/CBMisgFBVV95cUxQbUxLbkpuaF9kNkdZa1o0ODFyUjYxcE83Sk1OTUotWGlnbVhWTExPTnJsX0w0VUlRZjc4V2d0SDVSVjc5OUdCTE1sZy1TbEJySmVFaFZtejdDeHdWMFZPTF83eVg4WG1xZDFqdVRhcFhwemZsV1F1YWlrdnVWUjB4QnN0UE41MGpjYWg4RXBUajBzZXhWQXJKa1YtakFjSnlaNVg2MXpSb3ZyRUNNTGg1VDFn0gG_AUFVX3lxTFAxa3hqS25VbDNtT3A1VUhiSllIMjhmYlBvdm51ZTBYLXpUX3NPYjh5ZVNCc19PcDFMRWlEUlM4dGRuWklGd0F4N2NGX1ZmSDFvVHJ5QmtNREVsRk5uSV95cEc0d1dUVDlJNzhEMHVKUnpOdUhBYmRiWlZQaHBzT0xwV1h5N3hLZ0ljSGRvaWRHZnlKMFBsRjQxSlc1UVZHcVRMbTNOMmE0c2NWa3BMSmJXallFY3ltVnVKcTV3QTZz?oc=5,Theft,Constable among Vellore trio held for series of bike theft in Sriperumbudur DT Next,Vellore,,,,UNKNOWN,Constable among Vellore trio held for series of bike theft in Sriperumbudur Constable am,2,Low,True
90a2864e6de27a0c,Three from Vellore arrested for extorting money from senior citizens through ‘digital arrest’,"Thu, 21 May 2026 07:00:00 GMT",The Hindu,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPQ0ZGM3JhUzdDcXNQSXJGUXFaTlluX3RyaXJIN1ZoMkdiYm0xVDNqUHQ4a2gzNm51N0RrRmhlNnFvTi1JSzZfMTFXVmdoODJObXNrSDdXTTdmby12c0xJakNNbTdmT1E4d0dydVV3Ti1TWnpSdWRwQUdOLTYtaEFkb1MxWkk3QTBVeVJpaXBGR2dkVGtva3RrQjlHOUcwNXA1NkdETTRJeEhPRlVoTWdqWnpGcW1nX1JyY2l2a2NKV21aNE9sX0JTTFpvMFduRFBSVWNnbXZXYVB5aGpqTk1QMzJONkNHRTZyTlZOX9IB8wFBVV95cUxQQ2RGUGh6bld5VDRjZnJGdzRPRnpoVVJZcGJHQ1AyM0dWZ0xWZ2R6WlZNZXVCUDFKWS1iZVNsUm9ReE1BVWs1TzV3UjFQUlR6SW1mVzVIaFVIOWlfTGYwUFY2WnozekFmNU0wTXUxU2lleTAtWmNRb3JsNFo4ODMydTVxYzNsUVVKaGhEYkswUldJYkZTRE5ubDhEWGZ0cy1RSnFQem02RmMzWnlWVnk5M0ZoYU1TaXlOeHNIbTRueVBTekdRTV9FVTdIUXczQUhpS1B0U3V0OUg5MDFpckoxMlJKTTNfRDNfQ0dYTEdjLVZxV2c?oc=5,Cyber Crime,Three from Vellore arrested for extorting money from senior citizens through ‘digital arrest’ The Hindu,Vellore,,,,UNKNOWN,Three from Vellore arrested for extorting money from senior citizens through ‘,5,Medium,True
f3b3119c44ee69a2,Vellore man arrested over Cambodia cyber slavery racket,"Mon, 25 May 2026 07:00:00 GMT",Khmer Times,https://news.google.com/rss/articles/CBMimwFBVV95cUxQc00tRDN5M3dBb1JJZS16a2hpWjdKdzd6MTRlYmVOX2xjTG5WTE5LeUJXWmhzN0tzNG9iQWY2VWN1NnpjcWhXTGw4N1BKcDZTNElSWk9nR3pkNmVyZmVReDVNakh3TnRlSFN4dGJkTUhUUlVVUUZxQmZxTVNsd0M2SFgtb0Uwd1N2Q2huWE56LUJNeGlscnVnQ2RjUQ?oc=5,Cyber Crime,Vellore man arrested over Cambodia cyber slavery racket Khmer Times,Vellore,,,,UNKNOWN,Vellore man arrested over Cambodia cyber slavery racket Vellore man arr,5,Medium,True
a3bb6553c9e8d2ba,Vellore man arrested in cyber slavery trafficking case linked to Cambodia,"Sun, 24 May 2026 07:00:00 GMT",The Hindu,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOUFpjOVZHbVV5U0dwY0FxampxQW1YV0o1dkFTU0hFZ20wTk9mY2NLeWZETVVfVGtTT0NlSmNwTjZVN1pESS15Z0QtX0xRQi1TclR1a0o3WFdyU090allOb0RzODBZLXNMSHpYZ1dEdm9MNmJwVWNiS2Y2OTFyaDgzY3RSTDNSWGw2U3ZkdlFTbUhKOVlqNGRRb1JUYzBZS19mYVNMV19va3RJM1JYZk9qVG0wTUc4Y3FQSXNtWDJNWjY4a05yeHp4clYwS1duOUxTREpvMdIB2wFBVV95cUxPVUItZERQdTZlUGxSRXExMm9FMGktUU5vcWFVN19ZQ05RYkdHSWJ2SXJOQXN3RDQzdzdBaEtxaXFnc1hGdV84cTFOa3ZUbDRNdEFYcnFlYXFWUmh0T2lWYjY1UkNhSm9aS0ZWRm00UEhKTnJYZFN2ektsenRZNzFBb185YmplRDFadmF6ZDY3MzFqMEdjZGpoM1BLVFV6cW5VbXJvV2FVNWh6bGJVZ1FnTlBPV3JucVVuY3pjdEJELWJnZVVpWWNNRDlQNlM2dzBKR0NTdkV3VlRoekk?oc=5,Cyber Crime,Vellore man arrested in cyber slavery trafficking case linked to Cambodia The Hindu,Vellore,,,,UNKNOWN,Vellore man arrested in cyber slavery trafficking case linked to Cambod,5,Medium,True
5c8ec0e531c1a77d,Gangrape of Vellore lady doctor: Boy gets 20 years rigorous imprisonment,"Tue, 18 Feb 2025 08:00:00 GMT",The Times of India,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQZVdrMjFuU09IQ3B0T0I1SVV0cHh4XzJBZmZCRTdIcW94U2NOUlh6MmlUQmRFTngwTVBPNTJ5UFVrVUhTZ3dlalc4aURFMVV0aktMWDY1N3Y2dk5HSDg1Nmk5aUtPWlBoSk52NGtwNktYTUlLQ1g1Sy1zTkhWN01KOGU0Wm1wUldfVGVGQmdBZlRySmRVRmFhenFyQjByU3o0YVE2czRjMFNVQm41NUhsY2k5djBaZXdUX1FtaTlEeGFUNkQ5R3RzaGY4bTNXOE9zak5BanJCQUpwVS1KLXVr0gHkAUFVX3lxTE1NUHRsM1hnc2ozVWlaNzF2V0pCT2Q5bmc5T2J1dEJBRGpGRDJHa3dMczZ3Q2xtby0xdmctLXFOckc5YUNSLVBXcGNRMEJyZ01XQmZBS2hLYlNLVXhQa2ZnVENKb2tSVmEyRGRGNmNTZUxVdXVqaGQtNVVyTlRqWUVPYjNhdXQ5V3RrUTBDeWNORlJWR2VfdzhaN25EMVV6YkZmMWVVejloS083eXJYQTRkYUdwX2VvdFFBcW92MXRXMnlyX1lLb0FZTXNMZDFnMUtlTWg1MGFKUlVmYlpkbEM1dkNfbw?oc=5,Sexual Assault,Gangrape of Vellore lady doctor: Boy gets 20 years rigorous imprisonment The Times of India,Vellore,,,,UNKNOWN,Gangrape of Vellore lady doctor: Boy gets 20 years rigorous imprisonment Gangrape of,10,Critical,True
70d2d39686e4ee8b,Four get 20 years imprisonment in 2022 Katpadi gang-rape case,"Thu, 30 Jan 2025 08:00:00 GMT",The Hindu,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQenhJX2VVUURUVlNxaE9hUEh3NEs0Z2ZqRjEzRzlzZVN5Y3Y2b2ZXRVFJeE5MWk9DQ1VKbkxXNS1TMmpFMzFBd3d0UEJIa0dMdEFVVUQtNmxObGJyZ3VzcWtOazR4N2ZsMkNSRktfM2lVX3VjSmNWYjZ2dGh3X3BiR0FWaVh4SjBOVUV6cXg3NDRvN0FIaXZMbm0xcnZrZThFU3M1ZUNIcDBPb2FrVWhRVFk3Tk1uY1F1Q1NOSVRFNVLSAccBQVVfeXFMTi1jS0psdGZHUHY4TzVnWFVqdkhJeVhCZ0ZlR3ZSMUNsLXF1QzhsdXpsRWh1YWhER05IT3ItRXhIeGI5UEJhcFlLa29XbHhaVFJKeFRKWEZuX0dGX3hRMjJxQjFhNndscWNqNDRSUWxJcU4tZHBuUmN4WGdSWWlzMy1GcC1WZ3drQnNnOHd1dGp2QTRZYVZJNlR6c3FWZ3B6YWlRU2tWY0tmR3BtaktoLVRUWHR6X2wyQUJ2bnA3TWs5eEczQ0FzYw?oc=5,Sexual Assault,Four get 20 years imprisonment in 2022 Katpadi gang-rape case The Hindu,Vellore,Katpadi,13.043505,79.240410,HIGH,Four get 20 years imprisonment in 2022 Katpadi gang-rape case Four get 20 years imprisonment in 2022 Katpa,10,Critical,True
d36ad5c391bbbc59,Marine engineer arrested for dowry harassment and domestic violence in Vellore,"Tue, 22 Jul 2025 07:00:00 GMT",The Hindu,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQeFRuVkZHeERlbUZacEFDVElhY0dWWVJ3WEVYV1RnTXk2TTFreUZySlRvbGw0UmhYdWlBTURrLTYyTW00Sm9PNFExOWo2ZlJoX0dTdVMzY2l2b2M2enBVeXhTQlFYbG15R1Z4VEhIZTlIN1luWXVQY2V0SkdTblhnQ0ZiZDEzNkxhMW9uSHlUb25aN3pEOGotRGlNc3d2bUZrSEZsbzV6YlliNXp0RkJfM192LURSU2VjU2V1eTMzc0tsOFlxcTZGb3p6OGJPZ3BxOE4yZlB4X2xQWGxYYVJtNmp30gHoAUFVX3lxTE9ZV0NZNy1zaDN6MzEtQ05iek5ncjEyV1VlYkpLcmxKN3g2c1BadFlBbUR4RlhLMjFTS2U4ZkU2YmJSa3hDTnRoS2xmTUQ3dGRIeFh6N01FX0lSZ294ajhuYVQ3b1Z2SmRWV2JCWWhnalpfeWFWNy1TX1U2YXB0bjN0NUw1TlVxeDg1dGpJR29sMkoxWmFxSWNKdDhRMUg4cms5TGtMSVZQUWdVdEJocDN3d1hFYlk3eTVQN3ZneGNWWm8tX1dJSXg0N01zdjJLWFRldkdQdHpKeDNFNHdMNWJQUUdrdXNXUG0?oc=5,Domestic Violence,Marine engineer arrested for dowry harassment and domestic violence in Vellore The Hindu,Vellore,,,,LOW,ngineer arrested for dowry harassment and domestic violence in Vellore Marine engineer arrested for dowry harassment and domestic,8,High,True
b48e5f2617455ff5,Vellore doctor gang rape: Juvenile gets 20-year imprisonment,"Wed, 19 Feb 2025 08:00:00 GMT",The Hindu,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPQ0NqcVhKNGVtb3N6SXZhNGpZLXlsOUpZcVNEaDB1UGMzV19jWTZYN0Y5WTFmU3Q3dTFDY2FmbkFoeEJwbHhpeG1EX1FjRXJSeGZPV3RScFRlSmFBRzM4V2FNZDliSWI2ZWo1b21ueVRWZEhvb3MzRHQydy1Xems0alZWQTJZQUtzS1ZYbnJISHVLSmZ5UVYzdUUya00yV0g4bFRJTHQ5YThUcG5fVFZUNTBPY3Q2Qkk2MGJHWHdLWmNRRGlHNmpPWdIBzwFBVV95cUxNTVZxSWFncDJMRWFKbTZWQ1dCZWw5ZzdaT2dkUGszSkdUaFYyLS1HWUliNDU0VjZULU12QzZpWTBZU0FraFJKU1JjVzRLN3NOdTQtM0pLR3dEYmp0V1J0dW9lX2E1cW1DdWtFODdDMnVRSzhIQUdFWmxyOXNpRjhYRzZaeXFvS3BqLXRQUW9Ma0ticlRMS1JPQ0cybU5NUVl5YjJoOFlWOE8xVlN1UkFWLVJPdUtEWHh5MDNHSVROanY4SVdUVjJ1U3Fad2ZVTk0?oc=5,Sexual Assault,Vellore doctor gang rape: Juvenile gets 20-year imprisonment The Hindu,Vellore,,,,UNKNOWN,Vellore doctor gang rape: Juvenile gets 20-year imprisonment Vellore docto,10,Critical,True
b577529c3ffa4b12,Gang arrested for possession of Indian pangolin in Vellore,"Mon, 13 Jan 2025 08:00:00 GMT",The Hindu,https://news.google.com/rss/articles/CBMixwFBVV95cUxOblNKcC1fZHN1WXAwVm00Nl9Bdk5idEo5R0tMd2JZWV9oUEc5eDN0ODZWem5CM3dzaFI2Q21tdFllelhKbkUtVkxmU1JDSW9fOXFJVlQ5Tm1OU2ZIMHR5NVVwYW9qM2k1MlktbW9VeWxaMUtuVlRGRW1wa25tLTdBNktqSENNVTNxOEg3S1ZySEZZa1NNQWlSOXJOSEVtVTMyWk94SXhsZ2JZbjN0YlI1bXUzYVRwakRSamRUbkFsTTV6T084bDhR0gHOAUFVX3lxTE0za2Vkd3ZyOWozV1RWNGVpTjdtdU45OVgxTjRRUExUU1Nadzd5aFVvalB5SkNKTmRGZWNFOFJLc2Y2aHZHc1ZJLVcxTnAwZ05VRzU5ZFZJU0F1ZmtpV3dIcV9ndkwtckhLSjNTUHRMZmRKRk1GcFgzY2VCeVlNWHozVWdWZl84T01rUjdDcUVOb1NsVnF1dHJjbVliZDQ3NXNlelVQVGp4d3drNUxqNHEyeFRNdEhabUsySU1PT2Ezbzh3LW92MklBSHctSlZB?oc=5,Other,Gang arrested for possession of Indian pangolin in Vellore The Hindu,Vellore,,,,LOW,Gang arrested for possession of Indian pangolin in Vellore Gang arrested for possession of Indian pangolin in Vellore,5,Medium,True
